Campus,College,Program Level,Degree,Specialization/Major
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Science in Biology,Animal Biology
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Science in Biology,Plant Biology
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Arts in English Language,Applied Linguistics
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Arts in Literature and Cultural Studies,
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Science in Mathematics,
Obrero Campus (Main),College of Arts and Sciences,Undergraduate,Bachelor of Science in Statistics,
Obrero Campus (Main),College of Arts and Sciences,Graduate,Master of Arts in Literature,
Obrero Campus (Main),College of Arts and Sciences,Graduate,Master of Science in Applied Mathematics,
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Early Childhood Education,
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Elementary Education,
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Physical Education,
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Secondary Education,English
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Secondary Education,Filipino
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Secondary Education,Mathematics
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Secondary Education,Science
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Special Needs Education,
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technology and Livelihood Education,Home Economics
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Automotive Technology
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Civil and Construction Technology
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Computer Systems Servicing
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Electrical Technology
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Electronics Technology
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,"Heating, Ventilating, Air-conditioning and Refrigeration (HVACR) Technology"
Obrero Campus (Main),College of Education,Undergraduate,Bachelor of Technical-Vocational Teacher Education,Mechanical Technology
Obrero Campus (Main),College of Education,Graduate,Doctor of Philosophy in Education,Educational Leadership and Management
Obrero Campus (Main),College of Education,Graduate,Doctor of Philosophy in Education,English Language Teaching
Obrero Campus (Main),College of Education,Graduate,Master of Arts in Education,Alternative Learning System
Obrero Campus (Main),College of Education,Graduate,Master of Arts in Education,Early Childhood Education
Obrero Campus (Main),College of Education,Graduate,Master of Arts in Education,Educational Leadership and Management
Obrero Campus (Main),College of Education,Graduate,Master of Arts in English Language Teaching,
Obrero Campus (Main),College of Education,Graduate,Master of Arts in Mathematics Education,
Obrero Campus (Main),College of Education,Graduate,Master of Arts in Science Education,
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Alternative Learning System,
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Early Childhood Education,
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Special Needs Education,Hearing Impairment
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Special Needs Education,Gifted and Talented
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Special Needs Education,Intellectual Disability
Obrero Campus (Main),College of Education,Graduate Certificate,Graduate Certificate in Teaching Special Needs Education,Visual Impairment
Obrero Campus (Main),College of Engineering,Undergraduate,Bachelor of Science in Civil Engineering,Transportation Engineering
Obrero Campus (Main),College of Engineering,Undergraduate,Bachelor of Science in Civil Engineering,Geotechnical Engineering
Obrero Campus (Main),College of Engineering,Undergraduate,Bachelor of Science in Civil Engineering,Structural Engineering
Obrero Campus (Main),College of Engineering,Undergraduate,Bachelor of Science in Electronics Engineering,
